gene	subtype	type
660_tnpA_CP000355.2	tnpA	transposase
2034_tnpA1_ADFW01000001.1	tnpA1	transposase
1203_tnpA_LC075716.1	tnpA	transposase
1692_tnpA_AP010806.1	tnpA	transposase
1744_ISCR1_HG003695.1	ISCR1	ISCR
2773_tnpA_JX194160.1	tnpA	transposase
1652_tnpA_ANGG01000530.1	tnpA	transposase
1873_tnpA1_CP000831.1	tnpA1	transposase
1342_tnpA_CP001590.1	tnpA	transposase
1638_tnpA_FJ948173.1	tnpA	transposase
1930_tniA_FJ948173.1	tniA	tniA
1216_tnpA_CP002879.1	tnpA	transposase
729_tnpA_LC155908.1	tnpA	transposase
451_tnpA_KU254577.1	tnpA	transposase
2646_Tn916-orf15_KC414929	Tn916-orf15	Tn916
1033_tnpA_LC198842.1	tnpA	transposase
2536_tnpA_AY850399.1	tnpA	transposase
2498_tnpA_AE014299.2	tnpA	transposase
343_tnpA_KJ933392.1	tnpA	transposase
1952_tnpA_GQ160960.2	tnpA	transposase
1763_tnpA_DQ839391.1	tnpA	transposase
1585_tnpA1000_KX709966.1	tnpA1000	transposase
1980_tnpA_AE014299.2	tnpA	transposase
831_tnpA_KF705206.1	tnpA	transposase
1695_tnpA_AE014299.2	tnpA	transposase
1110_tnpA_GU371928.1	tnpA	transposase
553_tnpA_KP826703.1	tnpA	transposase
1290_tnpA_ISSod8_AE014300.1	tnpA	transposase
1361_tnpA_CP001856.1	tnpA	transposase
2753_tnpA_KT282968.1	tnpA	transposase
1013_tniA_LIHO01000010.1	tniA	tniA
2777_tnpA_CP000354.2	tnpA	transposase
1789_tniA_GQ406245.5	tniA	tniA
440_tniA_JX844629.1	tniA	tniA
596_tniAb_JN968483.3	tniAb	tniAb
2806_tniA_FP929140.1	tniA	tniA
2805_tniA_KU549175.1	tniA	tniA
1498_tnpA_2_HE983995.1	tnpA	transposase
1928_tniA_CP000644.1	tniA	tniA
1408_tnpA3_CP001894.1	tnpA3	transposase
901_tniA_CT025833.1	tniA	tniA
1684_tnpA_LN794248.1	tnpA	transposase
2434_tniA_CP002194.1	tniA	tniA
1489_tniA_KX710093.1	tniA	tniA
2489_tnpA_EF682134.1	tnpA	transposase
401_tnpA_KX243414.1	tnpA	transposase
2033_tnpA_AJ421424.1	tnpA	transposase
2364_tnpA_CP000864.1	tnpA	transposase
856_tnpA_U05888.2	tnpA	transposase
634_tnpA_AF148496.1	tnpA	transposase
1463_tniA_AB270530.1	tniA	tniA
569_tniA_CP000353.2	tniA	tniA
838_tniA_EF107516.1	tniA	tniA
1354_tniA_AEEU01000268.1	tniA	tniA
682_tniA_CTRJ01000005.1	tniA	tniA
1349_tnpA_AE014299.2	tnpA	transposase
964_tnpA_FMSH01000107.1	tnpA	transposase
1957_tnpA_FJ829469.1	tnpA	transposase
2807_tniA_FN806773.1	tniA	tniA
1057_int3_HE577054.1	int3	integrase
2261_tniA_AB063332.1	tniA	tniA
346_tniA_Y17897.1	tniA	tniA
1312_tniA_AJ304453.1	tniA	tniA
2635_tniA_JX194160.1	tniA	tniA
389_tniA_LK391695.1	tniA	tniA
501_tniA_GQ983559.1	tniA	tniA
1491_tniA_AM993098.1	tniA	tniA
1926_tniA_JNFD01000038.1	tniA	tniA
2046_ISBf10_NC006347	ISBf10	ISBf10
1148_tniA_JFYY01000019.1	tniA	tniA
2435_tniA_AGFM01000122.1	tniA	tniA
1095_tniA_AM236084.1	tniA	tniA
699_tnpA_CYAM01000068.1	tnpA	transposase
1753_IS91_CP000272.1	IS91	insertion_element_IS91
1580_tniA_FMJB01000001.1	tniA	tniA
1166_tniA_CP002879.1	tniA	tniA
1929_tniA_AY305378.1	tniA	tniA
2052_tnpA_CU459003.1	tnpA	transposase
386_tnpA_JX077110.1	tnpA	transposase
594_tnpA_DQ875599.1	tnpA	transposase
1582_tnpA_EF628292.1	tnpA	transposase
1218_tnpA_AB985521.1	tnpA	transposase
129_repUS7__rep(pHTbeta)_AB183714	repUS7	plasmid
1557_tnpA_AJ829923.1	tnpA	transposase
528_tnpA_KT282968.1	tnpA	transposase
1050_ISSfl3_AL391753	ISSfl3	ISSfl3
1133_tnpA_KR822246.1	tnpA	transposase
1004_tnpA_KT779035.1	tnpA	transposase
360_tniA_LC155906.1	tniA	tniA
127_repUS5__CDS20(pETB)_NC003265	repUS5	plasmid
2257_tnpA-IS683_KP347127.1	tnpA-IS683	transposase
1564_IS679_NC002142	IS679	IS679
2367_ISBthe5_NC004663	ISBthe5	ISBthe5
1522_tnpA_AY327575.2	tnpA	transposase
514_IS91_MRWY01000004.1	IS91	insertion_element_IS91
1056_IS91_CP019240.1	IS91	insertion_element_IS91
10_rep3_2_rep165(pBMB165)_DQ242517	rep3	plasmid
11_rep3_3_rep(pBT9727)_CP000047	rep3	plasmid
2475_tnpA_APFX01000025.1	tnpA	transposase
823_tnpA_ADOU02000001.1	tnpA	transposase
1445_tnpA_CP000355.2	tnpA	transposase
2041_tnpA_AE007872.2	tnpA	transposase
1082_tnpA_CP015834.1	tnpA	transposase
2687_IS91_CP019238.1	IS91	insertion_element_IS91
517_tnpA_U66917.2	tnpA	transposase
1706_tnpA_AF086815.2	tnpA	transposase
1138_tnpA_KJ588779.1	tnpA	transposase
1825_tnpA1353_KJ541071.1	tnpA1353	transposase
2212_tnpA_AJ245804.1	tnpA	transposase
9_rep3_1_rep63A(pAW63)_BTH011655	rep3	plasmid
12_rep3_4_CDS38(pOX2)_NC002146	rep3	plasmid
1654_tnpAB_CP000352.1	tnpAB	transposase
771_tnpA_ISKpn24_KR822247.1	tnpA	transposase
2322_IS91_CP019242.1	IS91	insertion_element_IS91
824_ISCR-orf513__FJ012881.1	ISCR-orf513	ISCR
1556_tnpA_LC075717.1	tnpA	transposase
1870_istA3_LK391695.1	istA3	istA3
2695_tnpA_EU503121.1	tnpA	transposase
61_rep12_1_CDS32(pBMB67)_DQ363750	rep12	plasmid
829_IS91_MOFD01000166.1	IS91	insertion_element_IS91
1136_tnpA_JX570731.1	tnpA	transposase
1765_tnpA_CP012901.1	tnpA	transposase
2382_tnp-ISCR5_AM849110.1	tnp-ISCR5	tnp-ISCR
2573_tnpA_KU961660.2	tnpA	transposase
485_ISCR21_JN872329.1	ISCR21	ISCR
565_tnp-ISCR5b_AM849110.1	tnp-ISCR5b	tnp-ISCR
719_IS91_MIVX01000023.1	IS91	insertion_element_IS91
2042_tnpA_CAGT01000190.1	tnpA	transposase
2670_tnpA_CP000352.1	tnpA	transposase
2116_IS91_FN649418.1	IS91	insertion_element_IS91
1468_istA_CTRI01000001.1	istA	istA
1304_tnpA_CP006772.1	tnpA	transposase
1847_IS91_CP018031.1	IS91	insertion_element_IS91
1958_istA_KU130294.1	istA	istA
1966_istA_AB270530.1	istA	istA
2339_istA15_LK391695.1	istA15	istA15
2485_istA17_LK391695.1	istA17	istA17
735_istA7_HG916826.1	istA7	istA7
820_istA1_HG916826.1	istA1	istA1
133_repUS11__CDS16(pTEF3)_AE016832	repUS11	plasmid
2421_IS91_MKEM01000335.1	IS91	insertion_element_IS91
62_rep12_2_CDS1(plasmid)_AY278324	rep12	plasmid
1199_istA_KU254577.1	istA	istA
123_repUS1__ORF(E.faeciumContig1258)_JDOE	repUS1	plasmid
548_istA_KU254577.1	istA	istA
2636_istA_JX194160.1	istA	istA
1340_tniA_JX194160.1	tniA	tniA
1345_istA_AB270530.1	istA	istA
7_rep2_1_ORF(E.faeciumContig1183)_JDOE	rep2	plasmid
8_rep2_2_repR(pEF1)_DQ198088	rep2	plasmid
1_rep1_1_repE(pAMbeta1)_AF007787	rep1	plasmid
2568_tnpA_JN106175.1	tnpA	transposase
2786_tnpA_CP000352.1	tnpA	transposase
2_rep1_2_repS(pBT233)_X64695	rep1	plasmid
3_rep1_3_repR(pGB354)_U83488	rep1	plasmid
4_rep1_4_repE(orf17)_NC011140	rep1	plasmid
5_rep1_5_CDS6(pRE25)_X92945	rep1	plasmid
6_rep1_6_repE(pTEF1)_AE016833	rep1	plasmid
2122_IS91_CP018023.1	IS91	insertion_element_IS91
442_tnpA_AE014299.2	tnpA	transposase
2597_IS91_MNXT01000023.1	IS91	insertion_element_IS91
1081_int3_CALN01000327.1	int3	integrase
1531_tnpA_CP003565.1	tnpA	transposase
1718_tnpA_CP011271.1	tnpA	transposase
938_tnpA_BDLP01000034.1	tnpA	transposase
1292_tnpA_AB238971.1	tnpA	transposase
2433_tnpA1_CP002153.1	tnpA1	transposase
1333_tnpA_FJDF01000007.1	tnpA	transposase
1642_tnpAIS50-A_KF056330.2	tnpAIS50-A	transposase
285_tniA_HQ662557.1	tniA	tniA
2706_tnpA_KX710093.1	tnpA	transposase
2733_tnpA_AY823680.1	tnpA	transposase
2236_tnpA_CAGD01000034.1	tnpA	transposase
1722_IS91_KX957972.1	IS91	insertion_element_IS91
2411_tnpA_EF222275.1	tnpA	transposase
2560_tnpA_JN630467.1	tnpA	transposase
768_tnpA3_CP002879.1	tnpA3	transposase
1343_tnpA_5_FJNZ01000013.1	tnpA	transposase
1497_tnpA_FJAO01000001.1	tnpA	transposase
1528_tnpA_JN849689.1	tnpA	transposase
579_tnpA_2_FJNY01000001.1	tnpA	transposase
1548_tnpA_FCOK02000138.1	tnpA	transposase
1519_tnpA_EU503121.1	tnpA	transposase
1761_tnpA_HM370391.1	tnpA	transposase
2001_tnpA_KU666837.1	tnpA	transposase
530_tnpA_KT225462.1	tnpA	transposase
2725_IS91_MNUL01000039.1	IS91	insertion_element_IS91
1236_tnpA_KX029332.1	tnpA	transposase
1378_tnpA_CCWG01000122.1	tnpA	transposase
1820_tnpA_AY437915.1	tnpA	transposase
1127_tnpA_AP014809.1	tnpA	transposase
1799_tnpA_JMTN01000004.1	tnpA	transposase
730_tnpA_KX117210.1	tnpA	transposase
759_tnpA_CP000352.1	tnpA	transposase
1997_tnpA_CCKE01000172.1	tnpA	transposase
1821_tnpA_FLQZ01000083.1	tnpA	transposase
438_tnpA_DQ126685.1	tnpA	transposase
1478_tnpA_JOQR01000001.1	tnpA	transposase
2089_tnpA_CYEY01000102.1	tnpA	transposase
2797_tnpA_U66917.2	tnpA	transposase
391_tnpAcp2_KJ817377.1	tnpAcp2	transposase
850_tnpA_HQ219726.1	tnpA	transposase
140_repUS18__rep(pKKS825)_FN377602.2	repUS18	plasmid
1085_tnpA_AM420293.1	tnpA	transposase
2198_tnpA_KX710093.1	tnpA	transposase
955_tnpA_JQ318854.1	tnpA	transposase
2377_IS91_APJX01000011.1	IS91	insertion_element_IS91
2754_tnpA_CYGH01000010.1	tnpA	transposase
779_tnpA_GU067641.1	tnpA	transposase
2250_tniB_AGFM01000122.1	tniB	tniB
2774_tnpA_CDAH01000009.1	tnpA	transposase
2064_IS91_CP019240.1	IS91	insertion_element_IS91
2722_ISCra1_DQ787200	ISCra1	ISCR
2712_tnpA_FCNZ02000046.1	tnpA	transposase
390_tnpA_FN806773.1	tnpA	transposase
1374_tnpA_JEMZ01000267.1	tnpA	transposase
1894_IS91_LM651928.1	IS91	insertion_element_IS91
993_tnpA_AF403298.1	tnpA	transposase
313_tnpA_CT573071.1	tnpA	transposase
1376_tnpA_CCXZ01000025.1	tnpA	transposase
535_tnpA_FN806773.1	tnpA	transposase
1643_tnpA_JEMY01000043.1	tnpA	transposase
2491_tnpA_KX356458.1	tnpA	transposase
584_tnpA_AM086403.1	tnpA	transposase
1479_tnpA_AB031212.1	tnpA	transposase
483_tnpA_HE577623.1	tnpA	transposase
1071_int3_HG916826.1	int3	integrase
1260_tnpA_AY351675.1	tnpA	transposase
630_tnpA_AY439015.3	tnpA	transposase
836_tnpA_AE014299.2	tnpA	transposase
1089_tnpA_KF295829.1	tnpA	transposase
400_tnpA_KT378598.1	tnpA	transposase
532_IS91_MQAA01000013.1	IS91	insertion_element_IS91
979_tnpA_KX810025.1	tnpA	transposase
1326_tnpA_AF052055.1	tnpA	transposase
1547_tnpA_U66917.2	tnpA	transposase
2332_tnpA_AB183145.1	tnpA	transposase
2788_tnpA_CP002919.1	tnpA	transposase
648_tnpA_CCYP01000054.1	tnpA	transposase
2007_tnpA_AF042490.4	tnpA	transposase
2083_tnpA_CP003732.1	tnpA	transposase
339_tnpA_FN806773.1	tnpA	transposase
344_tnpA_LM676437.1	tnpA	transposase
489_tnpA_FN806773.1	tnpA	transposase
812_tnpA_CDAH01000040.1	tnpA	transposase
895_tnpA_FN806773.1	tnpA	transposase
288_tnpA_HE577623.1	tnpA	transposase
1839_tnpAISSm4_KJ541068.1	tnpAISSm4	transposase
2074_tnpAa_AB088420.3	tnpAa	transposase
2350_tnpA3_CDAZ01000010.1	tnpA3	transposase
2581_IS1166_U08850	IS1166	IS1166
1447_tnpA_CP002291.1	tnpA	transposase
2058_ISCR20-transposase_GU441460.1	ISCR20-transposase	ISCR
1861_tnpA_FJ866609.1	tnpA	transposase
2437_tnpA_KJ488943.1	tnpA	transposase
932_tnpA_AF109404.1	tnpA	transposase
1735_IS91_MLYM01000036.1	IS91	insertion_element_IS91
1880_IS91_CP018031.1	IS91	insertion_element_IS91
1235_tnpA_AM286690.1	tnpA	transposase
1385_IS91_MPUM01000119.1	IS91	insertion_element_IS91
1464_tnpA_ANKQ01000003.1	tnpA	transposase
2105_tnpA_DQ473406.1	tnpA	transposase
2791_tnpA_BX571859.1	tnpA	transposase
1981_tnpA_AOCI01000135.1	tnpA	transposase
2204_tnpA_AB646744.1	tnpA	transposase
2533_tnpA_AOCI01000205.1	tnpA	transposase
1180_tnpA_AM286690.1	tnpA	transposase
142_repUS20__rep(pAVX)_CP001784.1	repUS20	plasmid
307_IS91_AGTD01000005.1	IS91	insertion_element_IS91
1157_tnpA_JIDP01000002.1	tnpA	transposase
545_tnpA(ISnew)_AJ698325.1	tnpA(ISnew)	transposase
347_istA_DQ125241.2	istA	istA
871_tnpA_AY779042.1	tnpA	transposase
2009_tnpA_KP125893.1	tnpA	transposase
2415_tnpA_7_KU665642.1	tnpA	transposase
132_repUS10__CDS25(pSSP1)_AP008935	repUS10	plasmid
789_tnpA_CP002474.1	tnpA	transposase
2408_int2_AE017042.1	int2	integrase
2710_tnpA_AY939911.1	tnpA	transposase
589_int3_LN890524.1	int3	integrase
1295_tnpA_FCOX02000267.1	tnpA	transposase
1520_tnpA_HE613569.1	tnpA	transposase
2344_istA13_LK391695.1	istA13	istA13
2580_tnpA_JN106175.1	tnpA	transposase
2605_tnpA_JN106167.1	tnpA	transposase
521_tnpA_AJ318089.1	tnpA	transposase
705_tnpA_HE613569.1	tnpA	transposase
765_tnpA_HE613569.1	tnpA	transposase
667_tnpA_CBSV010000057.1	tnpA	transposase
1309_tnpA_KP834592.1	tnpA	transposase
1828_tnpA_AB434906.1	tnpA	transposase
1905_tnpA_FP885897.1	tnpA	transposase
2321_tnpA_CP000352.1	tnpA	transposase
309_tnpA_JQ690540.1	tnpA	transposase
738_tnpA_FP885907.1	tnpA	transposase
724_ISCre2_NC015673	ISCre2	ISCR
847_IS91_LK021130.1	IS91	insertion_element_IS91
898_IS91_CP019296.1	IS91	insertion_element_IS91
1831_tnpA_AY639948.1	tnpA	transposase
1167_tnpA_LROM01000066.1	tnpA	transposase
1675_IS91_CP018682.2	IS91	insertion_element_IS91
392_tnpA_JN106170.1	tnpA	transposase
1425_IS91_KX957972.1	IS91	insertion_element_IS91
1814_int3_HE617160.1	int3	integrase
1904_tniA_KF439868.1	tniA	tniA
915_tnpA_AY607844.2	tnpA	transposase
2093_IS91_MQRH01000048.1	IS91	insertion_element_IS91
1612_tnpA_DQ257628.1	tnpA	transposase
1823_tnpA_DQ257629.1	tnpA	transposase
2550_tnpA6_HE578057.1	tnpA6	transposase
2761_tnpA_FLLH01000004.1	tnpA	transposase
2256_tnpA_LN854557.1	tnpA	transposase
997_tnpA_AF342826.1	tnpA	transposase
1072_int2_CP003859.1	int2	integrase
1604_int2_FR824043.1	int2	integrase
1990_tnpA_LT608328.1	tnpA	transposase
2729_tnpA_KU736870.1	tnpA	transposase
281_ISCR-orf513_KJ186154.1	ISCR-orf513	ISCR
817_tnpA_ISSod37_AE014300.1	tnpA	transposase
970_IS91_MOMM01000027.1	IS91	insertion_element_IS91
1973_tnpA_KX029332.1	tnpA	transposase
957_tnpA_KX029332.1	tnpA	transposase
1457_IS91_MQRH01000053.1	IS91	insertion_element_IS91
1558_tnpA_U13767.1	tnpA	transposase
1591_int2_ADFW01000002.1	int2	integrase
1747_IS91_MJVB01000022.1	IS91	insertion_element_IS91
2275_tnpA_AOCI01000012.1	tnpA	transposase
443_tnpA_CT573071.1	tnpA	transposase
600_IS91_MJIC01000004.1	IS91	insertion_element_IS91
984_IS91_MQRH01000041.1	IS91	insertion_element_IS91
1101_tnpA_CTRJ01000004.1	tnpA	transposase
1111_tnpA_FR854090.1	tnpA	transposase
1881_IS91_MNQS01000105.1	IS91	insertion_element_IS91
2051_tnpA_KU167609.1	tnpA	transposase
2534_tnpA_LN899827.1	tnpA	transposase
578_tnpA_BX571965.1	tnpA	transposase
2696_tnpA_U14952.1	tnpA	transposase
2181_tnpA_AE014299.2	tnpA	transposase
1395_Int-Tn916_KC414929.1	Int-Tn916	integrase
1584_int2_CP003858.1	int2	integrase
1394_istA11_LK391695.1	istA11	istA11
1676_tnpA_AF079317.1	tnpA	transposase
319_tnpA_ISSod3_AE014300.1	tnpA	transposase
945_tnpA_AB032203.1	tnpA	transposase
949_tnpA_CP000646.1	tnpA	transposase
1344_tnpA_AF060871.1	tnpA	transposase
2272_tnpA_ANKQ01000002.1	tnpA	transposase
659_tnpA_AE014299.2	tnpA	transposase
731_tnpA_FN392238.1	tnpA	transposase
2147_ISCau1_NC012590	ISCau1	ISCau1
1075_IS91_MOFO01000088.1	IS91	insertion_element_IS91
1079_int3_AM902716.1	int3	integrase
1273_IS91_CP003742.1	IS91	insertion_element_IS91
1484_tnpA10_HQ840942.1	tnpA10	transposase
1494_tnpA_HF545434.1	tnpA	transposase
1791_int2_AM902716.1	int2	integrase
2211_tnpA_CP001846.1	tnpA	transposase
2376_tnpA_FP236842.1	tnpA	transposase
2460_tnpA_FO203500.1	tnpA	transposase
2470_tnpA_CP000353.2	tnpA	transposase
2630_IS91_CP003742.1	IS91	insertion_element_IS91
2730_tnpA_AOCI01000042.1	tnpA	transposase
306_IS91_LRLW01000235.1	IS91	insertion_element_IS91
482_tnpA_FN649418.1	tnpA	transposase
541_tnpA_FP236842.1	tnpA	transposase
614_tnpA_FP236842.1	tnpA	transposase
821_tnpA_CP002125.1	tnpA	transposase
